City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,bara,10.3744,10.7288,27.77,32,100,2.84,NG,1667503206
243,santa cruz,-17.8,-63.1667,28.03,21,1,11.32,BO,1667503155
244,onverwacht,5.5833,-55.1833,30.0,58,40,1.03,SR,1667503209
245,oranjemund,-28.55,16.4333,15.88,90,11,2.75,NA,1667503210
246,regina,50.4501,-104.6178,-2.76,71,75,9.26,CA,1667503211
247,tharad,24.3961,71.6267,26.53,38,0,2.69,IN,1667503212
248,banikoara,11.2985,2.4386,27.54,32,10,1.98,BJ,1667503214
249,hofn,64.2539,-15.2082,6.43,67,100,7.46,IS,1667503215
250,nabire,-3.3667,135.4833,24.73,87,100,0.99,ID,1667502945
251,isangel,-19.55,169.2667,22.06,94,8,1.03,VU,1667503218
252,alpignano,45.102,7.5266,13.16,91,75,2.06,IT,1667503220
253,baculin,7.4525,126.5842,25.87,85,88,2.07,PH,1667503221
254,kaitangata,-46.2817,169.8464,9.2,66,14,3.74,NZ,1667503222
255,amga,60.8953,131.9608,-22.39,100,90,1.35,RU,1667503223
256,palomares,17.15,-95.0667,27.36,77,96,5.22,MX,1667503224
257,kaniama,-7.5667,24.1833,18.41,97,92,0.54,CD,1667503225
258,preobrazheniye,42.9019,133.9064,-0.47,52,0,3.29,RU,1667503226
259,riberalta,-10.9833,-66.1,30.11,23,5,7.2,BO,1667503227
260,ahuimanu,21.4447,-157.8378,27.84,81,40,4.02,US,1667503228
261,campo verde,-20.4167,-54.0667,23.95,39,43,7.85,BR,1667503230
262,mackay,-21.15,149.2,15.93,63,5,5.91,AU,1667503232
263,acarau,-2.8856,-40.12,28.65,68,32,6.91,BR,1667503233
264,balkhash,46.844,74.9804,5.59,52,100,3.89,KZ,1667503234
265,kruisfontein,-34.0033,24.7314,19.38,82,25,5.28,ZA,1667503235
266,otane,-39.8833,176.6333,14.15,69,0,1.56,NZ,1667503236
267,coquimbo,-29.9533,-71.3436,17.85,63,0,6.69,CL,1667503150
268,dingle,10.9995,122.6711,24.28,94,87,2.45,PH,1667503239
269,monaragala,6.8714,81.3487,23.87,91,100,0.64,LK,1667503240
270,biltine,14.5333,20.9167,24.6,14,100,4.33,TD,1667503242
271,ponta delgada,37.7333,-25.6667,21.39,94,75,3.09,PT,1667503225
272,jimeta,9.2833,12.4667,28.7,33,100,0.91,NG,1667503244
273,narsaq,60.9167,-46.05,5.12,60,100,7.63,GL,1667503245
274,tazmalt,36.3868,4.3989,20.68,39,86,0.99,DZ,1667503247
275,murgab,37.4966,61.9714,13.93,94,100,2.06,TM,1667503249
276,nkayi,-4.1841,13.2884,23.39,92,48,1.08,CG,1667503250
277,karatsu,33.4425,129.9697,12.94,58,71,1.46,JP,1667503251
278,avarua,-21.2078,-159.775,24.03,73,40,6.17,CK,1667503252
279,adet,11.2644,37.4888,13.3,79,99,2.65,ET,1667503253
280,los llanos de aridane,28.6585,-17.9182,20.86,92,75,3.09,ES,1667503255
281,zhigansk,66.7697,123.3711,-16.3,94,99,3.4,RU,1667503169
282,manggar,-2.8833,108.2667,26.61,80,100,1.54,ID,1667503257
283,grand gaube,-20.0064,57.6608,23.54,72,100,2.68,MU,1667503258
284,yarmouth,41.7057,-70.2286,18.87,63,0,3.09,US,1667503260
285,kitwe,-12.7961,28.2477,22.43,58,91,2.63,ZM,1667503263
286,chara,56.9064,118.2631,-10.56,87,100,0.22,RU,1667503264
287,haapsalu,58.9431,23.5414,7.77,93,19,1.36,EE,1667503266
288,zonguldak,41.25,31.8333,10.41,95,89,0.43,TR,1667502785
289,tokmak,47.2514,35.7058,8.67,65,100,0.49,UA,1667503268
290,aquiraz,-3.9014,-38.3911,31.36,64,28,4.74,BR,1667503269
291,sakaiminato,35.55,133.2333,12.99,94,75,2.06,JP,1667503270
292,te anau,-45.4167,167.7167,7.36,95,100,3.54,NZ,1667503272
293,verkhniy uslon,55.7701,48.9823,3.12,96,100,3.38,RU,1667503273
294,makuyuni,-4.7333,38.1,22.94,74,6,1.42,TZ,1667503274
295,guerrero negro,27.9769,-114.0611,20.24,51,0,9.53,MX,1667503275
296,udachnyy,66.4167,112.4,-16.06,84,100,4.27,RU,1667503277
297,sisimiut,66.9395,-53.6735,-6.45,57,100,3.76,GL,1667503278
298,beloha,-25.1667,45.05,19.0,72,85,3.19,MG,1667503279
299,kuytun,54.3419,101.5036,-5.94,81,60,1.24,RU,1667503280
300,ejea de los caballeros,42.1263,-1.1372,13.12,63,70,7.99,ES,1667503281
301,pedernales,18.0384,-71.744,28.98,68,67,3.39,DO,1667503283
302,kaeo,-35.1,173.7833,15.74,97,33,1.4,NZ,1667503284
303,sambava,-14.2667,50.1667,21.65,87,3,1.47,MG,1667503285
304,carnarvon,-24.8667,113.6333,20.21,85,0,7.03,AU,1667503286
305,srednekolymsk,67.45,153.6833,-29.25,93,32,1.68,RU,1667503288
306,cherskiy,68.75,161.3,-30.75,97,8,1.82,RU,1667503289
307,yatou,37.15,122.3833,5.9,58,6,5.21,CN,1667503290
308,fort nelson,58.8053,-122.7002,-10.03,74,75,1.34,CA,1667503292
309,honiara,-9.4333,159.95,24.98,87,11,1.69,SB,1667503293
310,nurota,40.5614,65.6886,12.45,73,7,1.89,UZ,1667503295
311,lujiang,31.2581,117.2817,13.17,67,26,3.18,CN,1667503296
312,camacha,33.0833,-16.3333,19.68,88,40,3.09,PT,1667503297
313,bireun,5.203,96.7009,24.17,87,100,2.22,ID,1667503298
314,katsuura,35.1333,140.3,20.76,69,100,10.56,JP,1667503300
315,chuzhou,32.3219,118.2978,12.63,83,43,4.73,CN,1667503302
316,negombo,7.2083,79.8358,25.47,84,82,1.49,LK,1667503306
317,nemuro,43.3236,145.575,6.81,62,91,6.17,JP,1667503307
318,lagoa,39.05,-27.9833,19.33,89,2,5.29,PT,1667503309
319,klaksvik,62.2266,-6.589,7.51,81,99,13.74,FO,1667503246
320,bethel,41.3712,-73.414,21.47,46,0,2.57,US,1667503311
321,necochea,-38.5473,-58.7368,22.24,37,0,7.99,AR,1667503312
322,ahipara,-35.1667,173.1667,16.4,86,25,2.12,NZ,1667503313
323,shenjiamen,29.9576,122.298,17.99,64,100,8.07,CN,1667503314
324,panaba,21.2833,-88.2667,30.74,62,94,4.6,MX,1667503315
325,qaqortoq,60.7167,-46.0333,2.96,68,100,6.55,GL,1667503316
326,kamenka,51.3223,42.7678,0.76,86,100,2.77,RU,1667503317
327,gizo,-8.103,156.8419,27.98,78,78,4.04,SB,1667503319
328,itarema,-2.9248,-39.9167,28.45,67,16,6.8,BR,1667503320
329,honningsvag,70.9821,25.9704,5.86,75,100,8.75,NO,1667503321
330,bongaigaon,26.4782,90.5568,19.18,78,0,1.41,IN,1667503322
331,eureka,40.8021,-124.1637,11.22,91,17,0.89,US,1667503323
332,puerto leguizamo,-0.1934,-74.7819,21.88,68,100,1.84,CO,1667503324
333,dudinka,69.4058,86.1778,-8.87,81,100,9.35,RU,1667503327
334,maniitsoq,65.4167,-52.9,-2.07,45,100,3.89,GL,1667503328
335,nisia floresta,-6.0911,-35.2086,28.45,62,3,5.6,BR,1667503329
336,elko,41.0002,-115.5012,1.01,55,42,4.02,US,1667503330
337,comodoro rivadavia,-45.8667,-67.5,21.92,33,0,3.6,AR,1667503331
338,marseille,43.3333,5.5,17.14,86,100,3.13,FR,1667502747
339,pacific grove,36.6177,-121.9166,15.01,61,0,3.58,US,1667503333
340,clyde river,70.4692,-68.5914,-3.87,93,100,4.12,CA,1667503335
341,rio grande,-32.035,-52.0986,23.06,68,0,6.66,BR,1667503336
342,tecpan,14.7623,-90.9947,16.61,90,99,1.66,GT,1667503337
343,port blair,11.6667,92.75,25.83,74,36,2.07,IN,1667503338
344,kahului,20.8947,-156.47,28.01,67,40,6.71,US,1667503339
345,sayat,38.7839,63.8803,10.93,68,100,2.8,TM,1667503333
346,moranbah,-22.0016,148.0466,16.5,70,0,5.98,AU,1667503341
347,flin flon,54.7682,-101.865,-4.09,80,100,5.66,CA,1667503232
348,tiksi,71.6872,128.8694,-18.98,99,90,2.84,RU,1667503345
349,hervey bay,-25.2986,152.8535,16.03,73,0,5.48,AU,1667503346
350,binzhou,37.3667,118.0167,4.8,68,0,0.65,CN,1667503347
351,rosarito,32.3333,-117.0333,17.54,50,6,10.51,MX,1667503348
352,hami,42.8,93.45,7.02,33,39,3.47,CN,1667503349
353,batemans bay,-35.7167,150.1833,9.77,90,11,1.48,AU,1667503350
354,fare,-16.7,-151.0167,24.69,83,100,9.47,PF,1667503352
355,ballitoville,-29.539,31.2144,22.31,83,75,4.12,ZA,1667503215
356,maine-soroa,13.2114,12.0241,27.44,17,92,3.77,NE,1667503354
357,yining,29.0361,114.5636,14.12,73,80,1.26,CN,1667503355
358,warrington,53.3925,-2.5802,9.23,84,20,3.09,GB,1667503357
359,neiafu,-18.65,-173.9833,25.65,85,99,7.76,TO,1667503358
360,ayan,56.45,138.1667,-4.3,68,100,8.3,RU,1667503359
361,zhumadian,32.9794,114.0294,10.66,77,99,4.19,CN,1667503360
362,qurayyat,31.3318,37.3428,17.1,42,0,3.09,SA,1667503361
363,novoagansk,61.9449,76.6625,-2.03,98,99,2.5,RU,1667503362
364,upernavik,72.7868,-56.1549,-6.86,52,80,4.26,GL,1667503364
365,novikovo,51.1537,37.8879,2.23,71,14,1.43,RU,1667503365
